id товара из сайта,наименование,ссылка на товар,регулярная цена,промо цена,бренд
147341906,"Конфеты Raffaello маракуйя, 150г",https://online.metro-cc.ru/products/150g-konfety-raffaello-marakuyya,469,,RAFFAELLO
644004,"Чипсы Lay's с солью, 140г",https://online.metro-cc.ru/products/lays-naturalnye-solenye-140g,138,,LAY'S
643639,"Чипсы Lay's Max рифленые Сметана и лук, 140г",https://online.metro-cc.ru/products/lays-max-smetana-luk-140g,138,,LAY'S
363468,"Чипсы Lay's рифленые Сметана и лук, 225г",https://online.metro-cc.ru/products/lay-039s-so-vkusom-smetany-luka-225g,209,,LAY'S
457633,"Шоколад Ritter Sport молочный лесной орех, 100г",https://online.metro-cc.ru/products/ritter-sport-molochnyj-lesnoj-oreh-100g,149,109,RITTER SPORT
156674,"Батончик Twix Экстра шоколадный, 82г",https://online.metro-cc.ru/products/art_401987,73.9,59.9,TWIX
93378,"Конфеты Raffaello с цельным миндальным орехом в кокосовой обсыпке, 150г",https://online.metro-cc.ru/products/raffaello-s-celnym-mindalnym-orehom-v-kokosovoj-obsypke-150g,409,339,RAFFAELLO
175806,"Шоколадное яйцо Kinder Surprise Maxi, 100г",https://online.metro-cc.ru/products/yajco-kinder-syurpriz-maxi-iz-molochnogo-shokolada-c-molochnym-vnutrennim-sloem-igrushkoj-vnutri-liga-spravedlivosti-100g,509,,KINDER SURPRISE
252007,"Конфеты Красный Октябрь Мишка косолапый, Аленка, Красная шапочка, 700г",https://online.metro-cc.ru/products/krasnyj-oktyabr-shokoladnye-miks-mishka-kosolapyj-alenka-krasnaya-shapochka-700g,799,499,КРАСНЫЙ ОКТЯБРЬ
96031,"RIOBA Шоколад молочный (5г х 160шт), 800г",https://online.metro-cc.ru/products/rioba-porcionnyj-molochnyj-32-kakao-800g,801.9,,RIOBA
85180,"Конфеты Merci шоколадные ассорти, 250г",https://online.metro-cc.ru/products/merci-shokoladnye-assorti-250g,469,379,MERCI
